# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
geng gai 	更改	c=1 d=1 t=5084
geng gao 	更高	c=1 d=1 t=5047
geng hao 	更好	c=2 d=1.03956 t=6135
geng kuai 	更快	c=1 d=1 t=4450
geng xin 	更新	c=5 d=1.20946 t=5933
geng xin le 	更新了	c=1 d=1 t=5230
geng xin lv 	更新率	c=1 d=1 t=3230
geng xin yu 	更新於	c=1 d=1 t=1789
gong cun 	共存	c=1 d=1 t=5786
gong guan 	公館	c=2 d=1.99005 t=4374
gong jiao che 	公交車	c=1 d=1 t=4178
gong ju 	工具	c=3 d=1.03162 t=6231
gong neng 	功能	c=6 d=2.10411 t=5700
gong shi 	公式	c=2 d=1.00013 t=3761
gong si 	公司	c=3 d=2.41202 t=1918
gong tong 	共同	c=1 d=1 t=3752
gong ye hua 	工業化	c=1 d=1 t=4579
gong zuo 	工作	c=7 d=1.03213 t=5795
gong zuo kong jian 	工作空間	c=3 d=2.50028 t=331
gong zuo ren yuan 	工作人員	c=1 d=1 t=3750
gong zuo zhong 	工作中	c=3 d=2.97025 t=4957
gou 	夠	c=1 d=1 t=4589
gou jian 	構建	c=2 d=1.98511 t=4937
gou yong 	夠用	c=1 d=1 t=4393
gu ji 	估計	c=4 d=1.00213 t=5637
gu ji mei shen me 	估計沒什麼	c=1 d=1 t=1914
guan 	管	c=1 d=0.1 t=6029
guan 	罐	c=1 d=1 t=2125
guan bi 	關閉	c=1 d=1 t=862
guan diao 	關掉	c=2 d=1 t=5382
guan fang 	官方	c=1 d=1 t=3853
guan fang wen dang 	官方文檔	c=2 d=1.00036 t=2803
guan wang 	官網	c=0 d=0.1 t=6318
guan wang ma 	官網嗎	c=1 d=1 t=6319
guan xi 	關係	c=1 d=1 t=3286
guan xing 	慣性	c=12 d=4.42139 t=3849
guan xing dong liang 	慣性動量	c=2 d=1.00026 t=3814
guan yu 	關於	c=4 d=1.00117 t=3624
guan zhu 	關注	c=1 d=1 t=1936
guang qiang 	光強	c=1 d=1 t=2753
guang yuan 	光源	c=2 d=1.10125 t=5745
guang yuan xia 	光源下	c=1 d=1 t=5731
guang zhou 	廣州	c=3 d=2.17714 t=1588
guang zhou da xue cheng 	廣州大學城	c=1 d=1 t=1589
guang zhou shi 	廣州市	c=1 d=1 t=1580
gui 	貴	c=2 d=1.93707 t=974
gui fan 	規範	c=2 d=1.9802 t=3939
gui hua 	規劃	c=2 d=1 t=6203
gui zi 	櫃子	c=1 d=1 t=2123
gun dong 	滾動	c=2 d=1 t=2976
gun lun 	滾輪	c=1 d=1 t=154
guo biao 	國標	c=1 d=1 t=1633
guo cheng 	過程	c=1 d=0.0763379 t=6492
guo cheng zhong 	過程中	c=2 d=0.767206 t=6492
guo ji 	國際	c=2 d=1.00073 t=3047
guo lai 	過來	c=0 d=0.1 t=4927
guo lv 	過濾	c=1 d=1 t=3005
guo nei 	國內	c=3 d=1.45464 t=1916
hai 	還	c=1 d=0.124478 t=2070
hai dei 	還得	c=1 d=1 t=909
hai hui 	還會	c=1 d=1 t=5597
hai shi 	還是	c=15 d=1.19693 t=6421
hai shi shuo 	還是說	c=2 d=1 t=6297
hai xu yao 	還需要	c=1 d=1 t=2071
hai yao 	還要	c=1 d=1 t=4699
hai you 	還有	c=3 d=1 t=4024
hai zai 	還在	c=1 d=0.100001 t=4819
hai zai bai 	還在擺	c=1 d=1 t=4820
han 	憨	c=1 d=1 t=4745
han 	漢	c=1 d=1 t=1570
han shu 	函數	c=17 d=1.00636 t=5374
han shu zhong 	函數中	c=1 d=1 t=2623
hang 	航	c=1 d=1 t=1190
hang 	行	c=2 d=1.99005 t=4629
hao 	好	c=1 d=1 t=4924
hao 	號	c=1 d=1 t=1588
hao an 	好暗	c=1 d=1 t=5018
hao ban 	好辦	c=1 d=1 t=6252
hao de 	好的	c=11 d=1.46559 t=6433
hao gao 	好高	c=1 d=1 t=6083
hao kan 	好看	c=0 d=0.1 t=4664
hao kan dian 	好看點	c=1 d=1 t=4665
hao ma 	好嗎	c=1 d=1 t=4865
hao shi 	耗時	c=1 d=1 t=479
hao si 	好似	c=0 d=0.1 t=1737
hao xiang 	好像	c=7 d=1.54618 t=5377
hao xiang shi 	好像是	c=1 d=1 t=1716
hao xiang you ge 	好像有個	c=1 d=1 t=5378
he 	和	c=41 d=2.23528 t=6339
he 	喝	c=1 d=1 t=4214
he li 	合理	c=1 d=0.815338 t=280
he li lo 	合理咯	c=1 d=1 t=281
he ni 	和你	c=0 d=0.1 t=4201
he ni de 	和你的	c=1 d=1 t=4202
he re 	核熱	c=0 d=0.1 t=1987
hei huo 	黑火	c=1 d=1 t=1824
hen 	很	c=0 d=0.1 t=5735
hen duo 	很多	c=1 d=1 t=1407
hen hao 	很好	c=1 d=0.637944 t=1817
hen hao de 	很好的	c=1 d=1 t=5880
hen hao zhan xian 	很好展現	c=1 d=1 t=1818
hen jia 	很假	c=1 d=1 t=6145
hen jian dan 	很簡單	c=1 d=1 t=896
hen jie jin 	很接近	c=1 d=1 t=5736
hen jiu 	很久	c=2 d=1.9802 t=5719
hen kuai 	很快	c=1 d=1 t=664
heng xiang 	橫向	c=1 d=1 t=3020
hong mu 	紅木	c=1 d=1 t=1598
hong se 	紅色	c=4 d=2.62973 t=794
hong zhuan 	紅磚	c=0 d=0.1 t=2141
hong zhuan kuai 	紅磚塊	c=1 d=1 t=2142
hou 	後	c=11 d=1.04348 t=5497
hou du 	厚度	c=1 d=1 t=983
hou fang 	後方	c=1 d=1 t=3158
hou lai 	後來	c=1 d=1 t=1800
hou mian 	後面	c=7 d=1.00499 t=6112
hou qi 	後期	c=1 d=1 t=1957
hou san zhe 	後三者	c=1 d=1 t=2533
hou wei 	後衛	c=1 d=1 t=2789
hou xu 	後續	c=2 d=1.97531 t=781
hou zhe 	後者	c=1 d=1 t=5326
hu du 	弧度	c=2 d=1.02328 t=3297
hu lve 	忽略	c=1 d=1 t=845
hu po 	琥珀	c=1 d=1 t=740
hua 	畫	c=2 d=1.00106 t=6069
hua 	話	c=3 d=1.73712 t=4064
hua dong 	滑動	c=4 d=1.89602 t=3365
hua ge 	畫個	c=1 d=1 t=4656
hua mian 	畫面	c=13 d=3.68892 t=6143
hua mian xiao guo 	畫面效果	c=1 d=1 t=1906
hua tu 	畫圖	c=1 d=1 t=4156
hua wei 	華爲	c=1 d=1 t=5356
hua yi 	畫一	c=0 d=0.1 t=4448
hua yi ge 	畫一個	c=1 d=1 t=4449
huai le 	壞了	c=1 d=1 t=6263
huai yi 	懷疑	c=0 d=0.1 t=4446
huan 	換	c=2 d=1.956 t=4606
huan 	環	c=1 d=1 t=879
huan chu 	喚出	c=1 d=1 t=140
huan cun 	緩存	c=1 d=1 t=6054
huan ge 	換個	c=1 d=1 t=5226
huan jing 	環境	c=18 d=0.895834 t=6492
huan jing le 	環境了	c=1 d=1 t=829
huan jing nei 	環境內	c=1 d=1 t=853
huan jing zhi qian 	環境之前	c=1 d=1 t=1250
huan jing zhong 	環境中	c=3 d=1 t=5752
huan yuan 	還原	c=0 d=0.1 t=5877
huan yuan du 	還原度	c=1 d=1 t=5878
huang 	黃	c=1 d=1 t=583
huang jin 	黃金	c=0 d=0.1 t=4562
huang jin bi li 	黃金比例	c=1 d=1 t=4563
huang se 	黃色	c=6 d=1 t=5766
hui 	會	c=21 d=1.00741 t=6463
hui bu hui 	會不會	c=2 d=1.00011 t=6403
hui che 	回車	c=2 d=1.69768 t=5287
hui dan 	回彈	c=1 d=1 t=1971
hui fu 	回覆	c=2 d=1.02215 t=3626
hui fu 	恢復	c=8 d=4.35921 t=3622
hui gu 	回顧	c=1 d=1 t=5571
hui se 	灰色	c=1 d=1 t=4676
hui shi 	會使	c=1 d=1 t=1227
hui zai 	會在	c=2 d=1.77492 t=344
hui zong 	彙總	c=1 d=1 t=1174
hui zuo 	會做	c=0 d=0.1 t=4450
hun he 	混合	c=1 d=1 t=3414
hun xiao 	混淆	c=1 d=1 t=2489
huo 	或	c=19 d=1.80837 t=5804
huo de 	獲得	c=7 d=1.01593 t=5900
huo dong 	活動	c=1 d=0.319808 t=853
huo dong ma 	活動嗎	c=1 d=1 t=854
huo qu 	獲取	c=2 d=1.00001 t=2587
huo yue 	活躍	c=1 d=1 t=1882
huo zhe 	或者	c=10 d=1.11885 t=5197
ji 	即	c=8 d=1.89467 t=3073
ji 	及	c=9 d=3.1011 t=5746
ji 	基	c=1 d=1 t=4068
ji 	幾	c=1 d=0.508608 t=1155
ji 	機	c=1 d=1 t=4399
ji ben 	基本	c=7 d=1 t=6321
ji chu 	基礎	c=0 d=0.1 t=891
ji chu shang 	基礎上	c=1 d=1 t=1238
ji chu xing zhuang 	基礎形狀	c=1 d=1 t=892
ji cuo 	記錯	c=0 d=0.1 t=5385
ji dao 	即到	c=1 d=1 t=1767
ji de 	記得	c=1 d=0.1 t=5376
ji duo 	幾多	c=0 d=0.1 t=970
ji duo qian 	幾多錢	c=1 d=1 t=971
ji en 	吉恩	c=1 d=1 t=412
ji ge 	幾個	c=1 d=0.147835 t=3890
ji ge xian xiang 	幾個現象	c=1 d=1 t=3891
ji guang 	激光	c=2 d=0.100003 t=5329
ji guang lei da 	激光雷達	c=1 d=1 t=5330
ji guo lai 	寄過來	c=1 d=1 t=4384
ji he 	幾何	c=2 d=1.00876 t=3425
ji he chi cun 	幾何尺寸	c=1 d=1 t=2665
ji hu 	幾乎	c=2 d=1.55433 t=1931
ji hua 	計劃	c=2 d=1.95123 t=778
ji hua shu 	計劃書	c=2 d=1.75957 t=464
ji jiang 	即將	c=1 d=1 t=1798
ji ke 	即可	c=7 d=1 t=5848
ji lu 	記錄	c=12 d=1.22727 t=5322
ji lu le 	記錄了	c=1 d=1 t=2578
ji pi 	麂皮	c=1 d=1 t=986
ji qi 	及其	c=2 d=1.07577 t=1093
ji qi 	機器	c=2 d=1 t=6088
ji qi ren 	機器人	c=31 d=1.00329 t=5053
ji qi xue xi 	機器學習	c=2 d=1.00001 t=3562
ji shi 	即是	c=1 d=1 t=2382
ji shu 	技術	c=1 d=0.100087 t=5424
ji shu shang 	技術上	c=1 d=1 t=5425
ji shu xi jie 	技術細節	c=1 d=1 t=4015
ji suan 	計算	c=11 d=1.01988 t=4739
ji suan ji 	計算機	c=1 d=1 t=1065
ji xi 	即系	c=1 d=1 t=1748
ji xie 	機械	c=0 d=0.1 t=616
ji xie bi 	機械比	c=-1 d=0 t=616
ji xie bi 	機械臂	c=1 d=1 t=617
ji xu 	繼續	c=3 d=1 t=5793
ji yu 	基於	c=10 d=1.6363 t=6341
ji zhi 	機制	c=2 d=1.86936 t=5340
ji zhong 	幾種	c=2 d=1.19691 t=3921
jia 	加	c=6 d=1.00499 t=5994
jia 	夾	c=1 d=1 t=4782
jia dao 	加到	c=1 d=1 t=1523
jia gou 	架構	c=1 d=1 t=1361
jia jin 	加進	c=1 d=1 t=4995
jia kuai 	加快	c=1 d=1 t=684
jia le 	加了	c=2 d=1.00783 t=5827
jia li 	加力	c=1 d=1 t=4840
jia ru 	假如	c=1 d=1 t=6370
jia ru 	加入	c=20 d=2.18543 t=5891
jia shang 	加上	c=1 d=1.00136 t=5067
jia she 	假設	c=2 d=1.83946 t=5131
jia zai 	加載	c=0 d=0.1 t=6440
jia zai zhi hou 	加載之後	c=1 d=1 t=2303
jian 	件	c=3 d=3.1059 t=965
jian 	見	c=1 d=0.170651 t=4130
jian ce 	檢測	c=1 d=1 t=2993
jian cha 	檢查	c=3 d=2.38883 t=2668
jian dan 	簡單	c=6 d=1.17186 t=5465
jian dan dian 	見單點	c=1 d=1 t=4131
jian hang 	建行	c=0 d=0.1 t=1739
jian hang ka 	建行卡	c=1 d=1 t=1740
jian hua 	簡化	c=0 d=0.1 t=4485
jian hua yi xia 	簡化一下	c=1 d=1 t=4486
jian jie 	簡介	c=1 d=1 t=2500
jian kang 	健康	c=1 d=1 t=6095
jian li 	建立	c=2 d=1.98511 t=5102
jian mo 	建模	c=19 d=1.2843 t=6064
jian rong 	兼容	c=1 d=1 t=6337
jian shao 	減少	c=1 d=1 t=1475
jian shu 	鍵鼠	c=1 d=1 t=3569
jian xiao 	減小	c=1 d=1 t=3423
jian yao 	簡要	c=1 d=1 t=5432
jian yi 	建議	c=1 d=1 t=5529
jian zhu 	建築	c=2 d=1.95123 t=546
jiang 	將	c=29 d=1.68783 t=5842
jiang di 	降低	c=2 d=1.00274 t=2051
jiao 	叫	c=2 d=1 t=4496
jiao 	腳	c=0 d=0.1 t=4635
jiao ben 	腳本	c=12 d=1.32128 t=6485
jiao ben shang 	腳本上	c=1 d=1 t=6269
jiao ben you wu 	腳本有誤	c=1 d=1 t=6422
jiao ben zhong 	腳本中	c=1 d=1 t=2470
jiao biao 	角標	c=1 d=1 t=1394
jiao cheng 	教程	c=9 d=2.82856 t=5335
jiao du 	角度	c=2 d=1 t=5033
jiao gei 	交給	c=0 d=0.1 t=6211
jiao gei ni ba 	交給你把	c=1 d=1 t=6212
jiao hao 	較好	c=1 d=1 t=3652
jiao hu 	交互	c=2 d=1 t=6245
jiao ju 	焦距	c=1 d=1 t=6094
jiao wo 	叫我	c=3 d=1.00168 t=6121
jie 	節	c=0 d=0.1 t=2567
jie chu 	接觸	c=14 d=5.25471 t=3502
jie chu dian 	接觸點	c=2 d=1.51427 t=2916
jie dao 	街道	c=1 d=1 t=5173
jie dian 	節點	c=3 d=1.00009 t=5010
jie du 	解讀	c=1 d=1 t=505
jie duan 	截斷	c=1 d=1 t=3060
jie gou 	結構	c=1 d=0.100005 t=5132
jie gou wei 	結構爲	c=1 d=1 t=5133
jie he 	結合	c=2 d=1.01691 t=1718
jie huo 	截獲	c=1 d=1 t=2875
jie jie 	姐姐	c=1 d=1 t=3701
jie jin 	接近	c=0 d=0.100003 t=5735
jie jin zhi 	接近值	c=1 d=1 t=3648
jie jue 	解決	c=2 d=1 t=5800
jie jue zhong 	解決中	c=1 d=1 t=1169
jie kou 	接口	c=16 d=1.9409 t=6250
jie mian 	截面	c=1 d=1 t=1983
jie mian 	界面	c=19 d=1.68306 t=6324
jie mian zhe xie 	界面這些	c=1 d=1 t=6205
jie mian zhong 	界面中	c=2 d=1.62814 t=5607
jie qu 	截取	c=3 d=2.19277 t=5960
jie qu de 	截取的	c=1 d=1 t=5859
jie ru 	接入	c=4 d=1.00993 t=6331
jie shao 	介紹	c=1 d=1 t=1387
jie shi 	解釋	c=3 d=1 t=5525
jie shou 	接受	c=1 d=1 t=2625
jie shu 	結束	c=1 d=1 t=444
jie tu 	截圖	c=2 d=1.03337 t=5882
jie xia lai 	接下來	c=1 d=1 t=1701
jie ya 	解壓	c=2 d=0.100026 t=4498
jie ya yi xia 	解壓一下	c=1 d=1 t=4499
jin 	僅	c=2 d=1.98415 t=2577
jin 	近	c=1 d=1 t=3666
jin 	進	c=1 d=1 t=1049
jin bao kuo 	僅包括	c=1 d=1 t=2241
jin cheng 	進程	c=10 d=1.56548 t=2058
jin chu 	近處	c=1 d=1 t=4681
jin du 	進度	c=1 d=1 t=1116
jin er 	進而	c=1 d=1 t=2337
jin guan 	儘管	c=1 d=1 t=3898
jin long lu 	金隆路	c=1 d=1 t=1277
jin ru 	進入	c=4 d=1.09778 t=5496
jin shu 	金屬	c=1 d=1.06737 t=4594
jin tian 	今天	c=2 d=1.001 t=6085
jin xing 	進行	c=16 d=0.513929 t=5920
jin xing dui bi 	進行對比	c=1 d=1 t=3734
jin xing le 	進行了	c=1 d=1 t=5921
jin xing zhong 	進行中	c=2 d=1.0001 t=5400
jin yi bu 	進一步	c=1 d=1.00001 t=2184
jin yi bu de 	進一步地	c=1 d=1 t=208
jin zhou 	金洲	c=1 d=0.412317 t=1583
jin zhou cun 	金洲村	c=1 d=1 t=1584
jin zhou xiao xue 	金洲小學	c=1 d=1 t=1582
jing guo 	經過	c=1 d=1 t=3888
jing ju 	警局	c=1 d=1 t=533
jing mo ca 	靜磨擦	c=3 d=2.36647 t=3379
jing shen 	景深	c=5 d=4.51449 t=5977
jiu 	就	c=16 d=2.36859 t=6383
jiu 	舊	c=2 d=0.100013 t=6257
jiu bu 	就不	c=0 d=0.100197 t=6241
jiu bu xing 	就不行	c=1 d=1 t=5841
jiu bu yong 	就不用	c=1 d=1 t=4996
jiu bu zhi dao le 	就不知道了	c=1 d=1 t=6242
jiu cheng 	九城	c=1 d=1 t=3700
jiu de bu qu 	舊的不去	c=1 d=1 t=237
jiu fang fa 	就方法	c=1 d=1 t=3805
jiu hui 	就會	c=1 d=1 t=6458
jiu mu qian suo zhi 	就目前所知	c=1 d=1 t=5620
jiu neng 	就能	c=1 d=1 t=4074
jiu shi 	就是	c=11 d=2.63371 t=6475
jiu suan 	就算	c=0 d=0.1 t=4608
jiu suan le 	就算了	c=1 d=1 t=4609
jiu xiang 	就像	c=1 d=1 t=1662
jiu xie 	就寫	c=0 d=0.1 t=4925
jiu xing 	就行	c=1 d=1 t=4500
jiu zheng 	糾正	c=2 d=1.1108 t=3499
jiu zuo 	就做	c=1 d=1 t=4679
ju 	據	c=0 d=0.1 t=4934
ju bu 	局部	c=1 d=1 t=2947
ju li 	距離	c=1 d=1 t=3294
ju ti 	具體	c=4 d=1.83863 t=2857
ju ti wei 	具體爲	c=1 d=1 t=2300
ju you 	具有	c=0 d=0.1 t=1106
ju zhen 	矩陣	c=2 d=1.95123 t=3851
jue de 	覺得	c=1 d=1 t=1026
jue dui 	絕對	c=0 d=0.1 t=1161
jue dui lu jing 	絕對路徑	c=1 d=1 t=1162
jun wei 	均爲	c=1 d=1 t=2115
ka 	卡	c=0 d=0.289489 t=1759
ka fei 	咖啡	c=1 d=1 t=1076
kai 	開	c=2 d=1.00024 t=6089
kai fa 	開發	c=30 d=2.09009 t=6311
kai fa chu 	開發出	c=1 d=1 t=1385
kai fa jin cheng 	開發進程	c=2 d=1.02746 t=2227
kai fa yong 	開發用	c=1 d=1 t=5438
kai fa you xi 	開發遊戲	c=1 d=1 t=6312
kai fa zhe 	開發者	c=3 d=1.02173 t=1459
kai fang 	開放	c=1 d=1 t=1866
kai men 	開門	c=2 d=1.90032 t=867
kai qi 	開啓	c=1 d=1 t=3477
kai shi 	開始	c=6 d=0.878095 t=6492
kai shi zuo 	開始做	c=0 d=0.1 t=6226
kai tong 	開通	c=0 d=0.1 t=4068
kai tong yi xia 	開通一下	c=1 d=1 t=4069
kai yi ge 	開一個	c=1 d=1 t=1532
kan 	看	c=4 d=1.00004 t=6137
kan bu dao 	看不到	c=1 d=1 t=144
kan dao 	看到	c=7 d=1.00109 t=6048
kan dao le 	看到了	c=1 d=1 t=1910
kan kan 	看看	c=0 d=0.167368 t=1599
kan lai 	看來	c=1 d=1 t=5875
kan le 	看了	c=0 d=0.1 t=5174
kan qi lai 	看起來	c=1 d=1 t=5017
kan yi xia 	看一下	c=5 d=1.31243 t=6046
kao la 	考拉	c=1 d=1 t=748
kao lv 	考慮	c=1 d=1 t=735
kao qin 	考勤	c=1 d=1 t=3710
ke 	可	c=9 d=1.33709 t=5925
ke chuang 	科創	c=1 d=1 t=1280
ke cong 	可從	c=1 d=1 t=353
ke dui 	可對	c=1 d=1 t=5462
ke hu duan 	客戶端	c=1 d=1 t=2280
ke jian 	可見	c=4 d=2.0122 t=5802
ke jiang 	可將	c=2 d=1 t=5537
ke le 	可樂	c=1 d=1 t=2077
ke neng 	可能	c=3 d=0.176935 t=6128
ke qu zhi 	可取值	c=1 d=1 t=3618
ke shi hua 	可視化	c=13 d=2.01758 t=6230
ke tong guo 	可通過	c=1 d=1 t=2224
ke xing 	可行	c=0 d=0.1 t=6225
ke xing bian 	可形變	c=1 d=1 t=3136
ke xing de fang fa 	可行的方法	c=1 d=1 t=6226
ke xing xing 	可行性	c=3 d=1.15354 t=5917
ke xuan 	可選	c=2 d=1.80654 t=3241
ke xuan xiang 	可選項	c=2 d=1.0102 t=3468
ke xue 	科學	c=0 d=0.1 t=2278
ke xue shang wang 	科學上網	c=1 d=1 t=2279
ke yi 	可以	c=30 d=1.06878 t=6323
ke yi de 	可以的	c=1 d=1 t=4175
ke yi dui 	可以對	c=1 d=1 t=5475
ke yi guo lai yi xia ma 	可以過來一下嗎	c=1 d=1 t=4928
ke yi le 	可以了	c=1 d=1 t=5292
ke yi ma 	可以嗎	c=1 d=1 t=4520
ke yi yong 	可以用	c=1 d=1 t=6132
ke yi you 	可以有	c=2 d=1.13003 t=3148
ke yi zai 	可以在	c=1 d=1 t=1222
ke yi zhan shi 	可以展示	c=1 d=1 t=4945
ke yong 	可用	c=2 d=1 t=5568
ke zai 	可在	c=2 d=1.00012 t=5160
ke zhi 	可知	c=1 d=1 t=3859
kong 	空	c=1 d=1 t=4871
kong de 	空的	c=1 d=1 t=4872
kong ge 	空格	c=2 d=2.03635 t=6117
kong jian 	空間	c=3 d=1.95123 t=4022
kong qi 	空氣	c=1 d=1 t=1994
kong zhi 	控制	c=7 d=3.14935 t=5345
ku 	庫	c=10 d=0.111884 t=6279
ku wen jian 	庫文件	c=1 d=1 t=6280
kua zhang 	誇張	c=1 d=1 t=3909
kuai 	塊	c=0 d=0.1 t=2141
kuai 	快	c=2 d=1.00002 t=6098
kuai jie jian 	快捷鍵	c=1 d=1 t=4246
kuai su 	快速	c=2 d=1.29376 t=646
kuang jia 	框架	c=2 d=1.01633 t=4387
kun 	困	c=1 d=1 t=4213
kuo hao 	括號	c=1 d=1 t=6119
la 	啦	c=0 d=0.1 t=1600
la ji xiang 	垃圾箱	c=1 d=1 t=5763
lai 	來	c=11 d=1.43219 t=6308
lai bu quan 	來補全	c=1 d=1 t=2070
lai kan 	來看	c=1 d=1 t=1869
lai yuan 	來源	c=2 d=2.01636 t=3530
lan ben 	藍本	c=1 d=1 t=5125
lan se 	藍色	c=1 d=1 t=4682
le 	了	c=20 d=2.67953 t=6492
le ma 	了嗎	c=1 d=0.114515 t=4917
lei 	類	c=2 d=1.99501 t=2966
lei da 	雷達	c=1 d=0.1 t=5329
lei si 	類似	c=2 d=1.16284 t=3458
lei xing 	類型	c=1 d=1 t=244
li 	力	c=4 d=1.88854 t=3381
li 	立	c=1 d=1 t=2498
li 	裏	c=23 d=5.00895 t=6399
li du 	力度	c=1 d=1 t=5034
li fang ti 	立方體	c=5 d=1.24996 t=2398
li ji hang 	李霽航	c=4 d=1.99005 t=4956
li jie 	理解	c=0 d=0.1 t=3061
li lun 	理論	c=1 d=1 t=3560
li mian 	裏面	c=24 d=3.64161 t=6452
li mian de hua 	裏面的話	c=1 d=1 t=4783
li mian gai 	裏面改	c=1 d=1 t=6377
li mian le 	裏面了	c=1 d=1 t=4495
li mian you 	裏面有	c=1 d=1 t=4873
li ru 	例如	c=9 d=1.15422 t=5628
li ti 	立體	c=1 d=1 t=6045
li yong 	利用	c=2 d=1 t=5658
li yu 	利於	c=1 d=1 t=2094
li zi 	例子	c=6 d=1.71647 t=5424
li zi zhong 	例子中	c=1 d=1 t=5153
lian 	鏈	c=1 d=0.801173 t=1210
lian bu shang 	連不上	c=0 d=0.1 t=4417
lian jie 	連接	c=5 d=1.39617 t=5208
lian jie 	鏈接	c=17 d=0.932394 t=6492
lian jie li 	鏈接裏	c=1 d=1 t=3987
lian jie shang 	連接上	c=1 d=1 t=111
lian xi 	聯繫	c=2 d=1.06298 t=1852
lian xu 	連續	c=1 d=1 t=3373
liang 	兩	c=0 d=0.1 t=2877
liang 	量	c=1 d=1.056 t=1489
liang ge 	兩個	c=6 d=1.01314 t=6148
liang tu 	兩圖	c=1 d=1 t=5727
liang wu ti 	兩物體	c=1 d=1 t=2878
liang zhe 	兩者	c=2 d=1.47711 t=5699
liang zhong 	兩種	c=2 d=1.92312 t=3783
liang zi 	量子	c=1 d=1 t=1064
liao jie 	瞭解	c=3 d=1.00002 t=3100
liao wu 	了無	c=0 d=0.1 t=1800
liao wu yin xun 	了無音訊	c=1 d=1 t=1801
lie chu 	列出	c=2 d=1 t=5402
ling 	〇	c=1 d=1 t=1966
ling wai 	另外	c=4 d=0.797974 t=5535
ling wai ye you 	另外也有	c=1 d=1 t=5536
ling yi ge 	另一個	c=2 d=1 t=3731
ling yi tai 	另一臺	c=0 d=0.1 t=4397
liu 	六	c=2 d=1.00084 t=2731
liu 	劉	c=1 d=1 t=1189
liu chang 	流暢	c=1 d=1 t=2054
liu lan qi 	瀏覽器	c=5 d=4.55348 t=2263
lo 	咯	c=0 d=0.149659 t=420
lou ceng 	樓層	c=1 d=1 t=979
lu 	鹿	c=1 d=1 t=975
lu jing 	路徑	c=4 d=0.100069 t=6455
lu jing cuo le 	路徑錯了	c=1 d=1 t=6456
lu jing le 	路徑了	c=1 d=1 t=5001
lu xiang 	錄像	c=2 d=1.99501 t=2048
lun wen 	論文	c=2 d=1.95123 t=3119
lv 	率	c=1 d=1.01103 t=3670
lv 	鋁	c=3 d=1.69811 t=4586
ma 	嗎	c=25 d=4.08377 t=6443
ma 	嘛	c=2 d=1.00039 t=6287
ma fan 	麻煩	c=1 d=1 t=4608
ma su su 	麻酥酥	c=1 d=1 t=1969
mai 	買	c=3 d=1.03537 t=1757
man 	慢	c=0 d=0.1 t=4567
man zhe 	慢着	c=1 d=1 t=4521
mang 	忙	c=2 d=1.00016 t=6474
mao 	冇	c=1 d=1 t=1736
mei 	沒	c=3 d=0.132198 t=6467
mei ci 	每次	c=4 d=1.0853 t=4555
mei fan ying 	沒反映	c=1 d=1 t=4184
mei ge 	每個	c=3 d=1.59786 t=3811
mei guo 	美國	c=1 d=1 t=3972
mei jian 	沒見	c=1 d=1 t=6445
mei kai 	沒開	c=1 d=1 t=4427
mei miao 	每秒	c=1 d=1 t=3572
mei shan diao 	沒刪掉	c=1 d=1 t=6468
mei shen me 	沒什麼	c=0 d=0.1 t=1913
mei shi jian le 	沒時間了	c=1 d=1 t=4841
mei tian 	每天	c=1 d=1 t=4284
mei yi bu 	每一步	c=1 d=1 t=3398
mei yi ge 	每一個	c=1 d=1 t=2411
mei you 	沒有	c=8 d=1.00712 t=5252
men 	門	c=3 d=1 t=3994
men chuang 	門窗	c=1 d=1 t=555
meng meng 	夢夢	c=3 d=1.00419 t=4801
mi 	米	c=2 d=1.96561 t=1020
mi du 	密度	c=9 d=1.99006 t=4775
mi ma 	密碼	c=1 d=1 t=4917
mi zhu 	咪住	c=1 d=1 t=1737
mian 	免	c=2 d=1.00002 t=4275
mian 	麪	c=1 d=1 t=4276
mian ban 	面板	c=1 d=1 t=104
mian ji 	面積	c=1 d=1 t=1997
miao shu 	描述	c=6 d=1.00001 t=5419
mie 	咩	c=5 d=2.97465 t=1768
min jie 	敏捷	c=1 d=1 t=3505
ming 	名	c=2 d=1 t=4621
ming bai 	明白	c=0 d=0.1 t=4000
ming cheng 	名稱	c=9 d=1.79828 t=3160
ming ling 	命令	c=6 d=2.01086 t=5156
ming ming 	命名	c=1 d=1 t=6360
ming que 	明確	c=1 d=1 t=2802
mo ban 	模板	c=5 d=3.53027 t=2643
mo ca 	摩擦	c=14 d=3.34454 t=3616
mo ca li 	摩擦力	c=2 d=1.98511 t=1686
mo ca xi shu 	摩擦係數	c=1 d=1 t=2148
mo liang 	模量	c=3 d=1.16459 t=3543
mo ni 	模擬	c=1 d=1 t=1428
mo ren 	默認	c=10 d=1.00001 t=5743
mo ren de 	默認的	c=1 d=1 t=5576
mo ren shi yong 	默認使用	c=1 d=1 t=2472
mo ren wei 	默認爲	c=2 d=1.93707 t=2528
mo ren zhi 	默認值	c=5 d=1.34497 t=3588
mo shi 	模式	c=0 d=0.1 t=370
mo xing 	模型	c=99 d=1.87974 t=6291
